"","major","National & Public_1975","Private_1975","Total_1975","National & Public_1990","Private_1990","Total_1990","National & Public_2005","Private_2005","Total_2005","National & Public_2019","Private_2019","Total_2019"
"1","Literature",4.45732179910319,15.8955729938824,12.8542516526006,5.36192438468677,14.0477055954718,11.7774568053394,1.40879586398506,6.78443028455702,5.62432019590951,1.01408127860993,3.55559367134843,3.08761189888727
"2","History",0.244752267136483,1.52158346031664,1.16502613032043,0.303435390451925,0.988871718258492,0.802333214008165,0.0259358666506332,0.182104638022497,0.154258896310692,0.0263667277001008,0.0259754392031816,0.00886476048954973
"3","Philosophy",0.152558237149408,0.423941282211234,0.337602186608576,0.257034274176469,0.635597946057186,0.528326099019535,0.0556437308183896,0.518582321892441,0.423703416179553,0.0519756717526015,0.728652706328558,0.617470054815941
"4","Humanities: Others",0.102112305757585,1.0737362104972,0.815593876849797,1.36649823588284,1.74127551986886,1.6464094470796,4.19668237625118,3.98249806386858,4.02644764808282,3.55487664414321,2.6681319580685,2.83250242059092
"5","Law and politics",2.26133337245569,5.05976233070113,4.55181501808401,1.55394354119587,4.11387293112534,3.51491178516693,0.073822878441655,2.02977950405318,1.57241264773885,0.229692224319929,2.2433342651736,1.70591759146531
"6","Business and economics",6.75345377647067,17.3607745072056,15.241885247786,4.28610733107592,15.2882912872705,12.6583589760285,1.57488307418999,9.563761633607,7.71469440413924,1.26911213652586,7.28963399598909,5.72322976925946
"7","Sociology",0.39619387721239,1.88796077133579,1.41982325452504,0.260027770305032,1.24089180563036,0.955827337392422,0.761052090229714,2.69716186108777,2.29735548969674,0.796868396556284,1.27437483737298,1.25895664155075
"8","Social sciences: Others",0.237484492858048,0.190006328431783,0.206876645377596,0.105358323872013,0.355499679315136,0.292457029745188,0.349714087219934,0.310358402567552,0.16462476784239,0.286686298276932,0.594503492395967,0.390962141617965
"9","Mathematics",0.361302918028235,0.0871867317921399,0.00558569384373252,0.240724068925018,0.014449862873195,0.0674150679379724,0.387324289727614,0.377102051744628,0.381277792961522,0.439435022617596,0.353827434293117,0.377826989698095
"10","Physics",0.813245713359917,0.301099258309936,0.400934055658111,0.70051366434563,0.297669666798411,0.390433299528097,0.551978665641418,0.293032234941587,0.353323765202552,0.567316870829145,0.243294052093447,0.327177464192564
"11","Chemistry",0.182282867479281,0.00637718159139091,0.0224726347726187,0.0739659845744926,0.0952026811406131,0.0824067128840982,0.156688151084741,0.0929955487855334,0.108534151224164,0.199103024411804,0.101833783646268,0.130162325037205
"12","Biology",0.0141024312652336,0.00747817408067401,0.0270790396369405,0.0458603058037261,0.00531230995254836,0.0247731142475098,0.070384987707214,0.0100373861431268,0.0203194230920733,0.00925807598693013,0.0319665172589306,0.0363798787698729
"13","Geography",0.20633817981517,0.0103737203832967,0.0511133424007088,0.194106602073436,0.0212009944995434,0.0597733578791605,0.139011949808732,0.0429242275211772,0.0657827626563289,0.127559961605583,0.01836008794673,0.0496890088277499
"14","Physical sciences: Others",0.258010725826818,0.0990009116763025,0.125780880595837,0.0100822429417344,0.06528520127145,0.0487324444299097,0.461026324311287,0.0689690415166934,0.1666576953224,0.454912925064093,0.164754805824461,0.261255883411855
"15","Mechanical engineering",3.94533506094747,2.82721633781791,3.06873085117554,3.79498284180287,2.67232552317164,2.94235230502535,3.76145620022097,2.36814020181101,2.68825516184252,3.69593852732868,1.96369532886383,2.40284130199451
"16","Telecommunications engineering",3.90404057832483,3.15964744079408,3.32254029835352,4.21739310566884,3.35780185055951,3.56158623030723,5.66290417159114,3.83667214483388,4.25818524682507,5.11317027876662,2.93802387178982,3.49330380720287
"17","Civil engineering",2.36973921410543,3.14271661069055,2.98601650394891,2.3558448010327,2.60232851059576,2.54137091436747,1.51426247962113,1.7095376151236,1.66709527363672,1.09727897962372,1.34542869085689,1.29175272458109
"18","Applied chemistry",3.11966913065808,0.967290994258113,1.42447389857173,2.33934940876536,0.797014452615883,1.15759765008783,1.60384417936431,0.475304461710269,0.740515476517122,1.02375099227511,0.370269915219028,0.560002313178633
"19","Applied science",0.582660900186394,0.148887774279628,0.241603471533142,0.518791688043391,0.112274854368863,0.209846106352201,0.487854138122656,0.0469682357960695,0.148044432426755,0.533117026143704,0.173622286446869,0.264386456314677
"20","Nuclear engineering",0.216441604962257,0.0435017322075295,0.0802331628592181,0.17808135472802,0.040348825745456,0.0733801720087772,0.0502699362612028,0.0156943634017344,0.0236076382616406,0,0.0160691987705778,0.0119931469985399
"21","Mining engineering",0.270705580998215,0.0144132245265911,0.0690025617717544,0.21538374052343,0.00707735108667823,0.0569828733940749,0.0130782372214243,0,0.003026805802576,0,0,0
"22","Metallurgical engineering",0.894046664625674,0.156736631715009,0.313098960938417,0.684569980560504,0.119026103109692,0.254723853060394,0.0416724993691621,0.0391290247639182,0.0397526515209715,0.0165788889369073,0,0.00416733393933696
"23","Textile engineering",0.447205395866471,0,0.0913923723447947,0.247952985790681,0,0.0583124614886929,0.121447107194919,0,0.0283716941965673,0.0650534687969936,0,0.0178034209443141
"24","Marine engineering",0.194054179927036,0.0537220186900213,0.0836707710106603,0.0926886082576074,0.0202348000272465,0.0376255993593792,0.000722522470448831,0.00440456768231404,0.00356104719678143,0.0265891194847642,0,0.00702701418252225
"25","Aeronautical engineering",0.128075758751844,0.0626320120337322,0.0766465581356913,0.12808911970562,0.095283686299598,0.103218406735344,0.0691647696228904,0.0886130137941657,0.0841817239893058,0.0390151425848969,0.0917536264526257,0.0782013955373711
"26","Engineering management",0.192113638127765,0.944696011222114,0.78783242297132,0.122283593836104,0.795087225492061,0.635423999878844,0.0719667210945062,0.47855052563215,0.385169170727477,0.0450330077012798,0.268962409406546,0.21167758116184
"27","Crafts",0.0263661528883144,0.00651955791735606,0.0088866700260278,0.0624511150345075,0.0149983919701522,0.0256001511646119,0.000343053046888083,0.0082955281493414,0.00581855855601955,0.00613927622945428,0.0242269542733673,0.0151648700423435
"28","Engineering: Others",0.371141844065925,0.177253921630395,0.217950296781537,0.833766699448938,0.273187060114538,0.405902610326279,2.85980514526576,0.618059844990471,1.13870341565744,3.12040981913466,1.2314383638159,1.75804186411489
"29","Agricultural sciences",0.696971904869333,0.207052349199816,0.291403804942486,0.463702482544833,0.173098327671796,0.233902624664785,0.0826045375453284,0.0387734726123375,0.0146032424831903,0.141654051673889,0.0492754660059042,0.0204003089377966
"30","Agricultural chemistry",0.399302182579644,0.0671899894062151,0.109697576724225,0.0734792947310878,0.0663204347305855,0.0570006382756965,0.0470594900510037,0.0485393075932386,0.0478987306938959,0.0969965354851698,0.0317687447782677,0.0423017751063886
"31","Agricultural engineering",0.84510595358224,0.0540352219513791,0.222651269111544,0.582964108210462,0.0654490883489858,0.189229238317559,0.0394379042674748,0.0304970411623616,0.0324256405238803,0.0143366265540084,0.0440005165825772,0.038139265277898
"32","Agricultural economics",0.161848107119177,0.219279255878843,0.20668900165462,0.0907115824965239,0.189625344700155,0.165238501774176,0.00836943803817503,0.0721928533772756,0.0576027930541447,0.0736387403432604,0.0126742047910686,0.023268389497731
"33","Forestry",0.551754620085294,0.0825484677432035,0.181234074360349,0.310054889515949,0.0620018587206565,0.1195468656104,0.00223670463386668,0.00609718851060125,0.00606223377203705,0.0486448525884442,0.0100949847689247,0.0224224167419608
"34","Forest products",0.122610105072095,0,0.0253704254852485,0.0690797177634618,0,0.0155403093958006,0,0,0,0,0,0
"35","Veterinary medicine",0.353622084307293,0.152985449949696,0.190061096050597,0.0108420955079178,0.0284147224720553,0.020089581383744,0.0443609826464013,0.0574888144754094,0.0537739988555314,0.0836359411270409,0.0620881489056413,0.0655882131425614
"36","Fisheries science",0.526126860544044,0.160373544727047,0.236496207049315,0.417172991400143,0.136046599572984,0.20132698931705,0.0577542946667584,0.0485923033891402,0.0531147248918076,0.112747462922346,0.0883641059694216,0.100000342584287
"37","Agricultural sciences: Others",0,0.0269789067837762,0.0178999063645396,0.0249113478776102,0.0457680963539496,0.0300029583892934,0.274807140208772,0.000402292066203512,0.0462943463616047,0.120022357383572,0.0179162973074287,0.0342859089038782
"38","Medicine",1.7380970463455,0.103002864016724,0.418487380338293,1.58674375567801,0.113819169839727,0.44796740132445,0.635894700882451,0.111355667552554,0.244060820574202,1.01163028283541,0.153274644191079,0.419085538215918
"39","Dentistry",0.141462279094311,0.143398135927476,0.140556021903366,0.15747057816349,0.101952228793599,0.113976135983381,0.0212640073775902,0.0861469364661913,0.0724868914931538,0.0628357800919581,0.0367923949216053,0.0177492914215493
"40","Pharmacy",1.76355751020006,2.92479889978307,2.62189205763769,0.937798579759452,2.38002409727427,2.00312627750266,0.274843017653865,0.817944225626714,0.699582141772438,0.0304020399197477,0.711305250732495,0.570363161742319
"41","Nursing",0.0482735120399818,0.055984362054564,0.053928743849542,0.188071901334587,0.165667188375845,0.171473298418913,3.00402205006711,0.592352022118961,1.11903703347061,4.18037155444362,2.9227578960425,3.18734534415588
"42","Health: Others",0.124845563378342,0.327098237773068,0.273197206718142,0.134562801806151,0.465219034212772,0.37911029530379,1.81111369217249,0.708042771794614,0.948162389575231,2.73241530499908,0.583986808249189,1.06915488379331
"43","Merchant marine",0.29981370798727,0,0,0.210719339262353,0,0.0501985576487956,0.0849874312194193,0,0.0194548511286938,0.0488844173735678,0,0.0126043080789964
"44","Home economics",0.809291231258519,1.64410203273404,1.42287818132224,0.519006112336793,1.34681627070564,1.13213210396481,0.492924468006919,1.2244471669698,1.06500945847863,0.225209156830377,0.994053404964175,0.837324952259698
"45","Food science",0.649302332462473,1.53116179106429,1.29766986261621,0.508155810336721,1.18055556370477,1.00609765936649,0.183746596815689,0.955864734799113,0.787056025613031,0.507261402369117,1.90756389886689,1.62251732518251
"46","Clothing",0.379538588709633,1.00425427472797,0.83889114986458,0.32550906000217,0.979560305962211,0.809938750433812,0.0234426613814121,0.333816606704971,0.265930172936186,0,0.276825136474178,0.21988393573828
"47","Housing",0.186230957518869,0.137036734026017,0.150565633984142,0.109488326807964,0.138037586748392,0.130851999562612,0,0.105007547417471,0.0820398079522677,0.036989642899988,0.0255134587155148,0.0286178273625668
"48","Child",0.249886415265788,0.900965393111347,0.728571428571429,0.177221599334515,1.03779399452946,0.814518124575634,0,0.350032575412002,0.273662448076245,0,0.268074726426535,0.213342990772065
"49","Pedagogy",0.339482843582668,1.57540984257413,1.24863520258377,0.595701533982001,1.2207179197728,1.05762178709812,0.301887204795046,0.681806881120266,0.599071676935763,0.300778931068992,0.750823826662665,0.674747230542436
"50","Elementary school education",14.5172615292781,0,4.00406385354345,9.01887281462776,0,2.40288208893579,0.677682285240725,0,0.142738817828375,0.575435728254756,0,0.086695017685564
"51","Junior high school education",4.10695437633702,0,1.1819403479362,1.78584792676154,0,0.492690242151177,0.0383068870584428,0,0.00713161391786829,0.0102367655689042,0,0.000639299654533822
"52","High school education",0.241243466034417,0,0.0681537535268632,0.00101647036747988,0,0.000413743236669433,0,0,0,0,0,0
"53","Specialized subjects education",1.03476415831111,0,0.303673156944091,0.692587987269866,0,0.188377915483313,0.0169763755240453,0,0.00367158363768863,0,0,0
"54","Visually impaired education",0.0405113448429004,0,0.0111291989166371,0.0281733889279004,0,0.00738837276892399,0,0,0,0,0,0
"55","Deaf education",0.12645658337049,0,0.0342884730212441,0.109488326807964,0,0.0286130605964449,0,0,0,0,0,0
"56","Special school education",1.40938636982484,0,0.381230594874095,1.08750673990493,0,0.286114700236642,0.072963159389323,0,0.0158410651521052,0.00899748070540249,0,0.00186766164611547
"57","Kindergarten education",0.827984705815098,0,0.219738566314969,1.28707055371142,0,0.334880560033429,0.0379812492005681,0,0.00829357951147989,0.0318468293078927,0,0.00652687567917643
"58","Physical education",0.0438839289036269,0.267460834619849,0.158214725310094,0.0010036460742737,0.135499332384565,0.0864016375704502,0.0734444868812515,0.0174612028321372,0.025464510674898,0.0718542912937646,0.358956395632657,0.2649672053811
"59","Pedagogy: Others",0.777620107899414,0.62075595189397,0.669234320409734,1.0198669580591,0.885377372818418,0.921664580801971,5.38078379145206,0.844429634772341,1.80424345169759,3.15705851654131,1.8131909526294,1.98337533856668
"60","Fine arts",0.0718996745708758,0.240561410520172,0.199290868274728,0.124355007450682,0.236973742877269,0.208090077115631,0.212578358411122,0.287144945596242,0.271472553021552,0.343550131741259,0.253198464351328,0.271807694348535
"61","Design",0.01547958996149,0.158805684597793,0.105990184120743,0.032688384534382,0.210883119228187,0.162376313892683,0.0878389951923626,0.332295965856149,0.280665791402232,0.199891896619305,0.402053252311488,0.3671002592086
"62","Music",0.492759195814086,3.23704492248446,2.51237702967443,0.422981208787986,2.55837789631289,2.00401157065049,0.272271698101828,0.874232651909234,0.743037575288097,0.194178745108428,0.501185154233996,0.439687277006043
"63","Fine arts: Others",0.102645271463018,0.155047014983692,0.133187526290315,0.139258366627468,0.246602810637421,0.21503058648222,0.174399721670357,0.442247150437041,0.386131330887032,0.44853702717605,0.413779298543827,0.432814022121814
"64","Liberal arts",0.0358105344211559,0.204813503851802,0.145171063349639,0.115276410583221,0.201659487163645,0.183494129193577,0.145425990099058,0.0493035722200661,0.0697213305035949,0.142288652617688,0.092053524302226,0.0995222157782251
